"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2009","1,694.14","1,821.24","1,842.77","1,690.94","194.70M","-6.98%"
"01/01/2009","1,821.24","1,503.02","1,844.61","1,500.46","171.47M","21.17%"
"12/01/2008","1,503.02","1,639.94","1,656.37","1,476.56","63.23M","-8.35%"
"11/01/2008","1,639.94","1,821.53","1,976.37","1,562.03","128.37M","-9.97%"
"10/01/2008","1,821.53","2,142.26","2,171.00","1,740.44","161.27M","-14.97%"
"09/01/2008","2,142.26","2,408.75","2,415.76","2,142.26","161.04M","-11.06%"
"08/01/2008","2,408.64","2,463.44","2,493.36","2,404.00","237.79M","-2.22%"
"07/01/2008","2,463.41","2,457.84","2,465.03","2,338.63","226.78M","0.23%"
"06/01/2008","2,457.84","2,538.36","2,561.11","2,432.41","221.99M","-3.17%"
"05/01/2008","2,538.37","2,633.56","2,661.54","2,506.64","167.72M","-3.59%"
"04/01/2008","2,632.96","2,550.47","2,691.42","2,498.35","1.04B","3.23%"
"03/01/2008","2,550.47","2,530.86","2,588.40","2,526.04","315.42M","0.77%"
"02/01/2008","2,530.86","2,446.13","2,549.30","2,434.04","306.84M","3.46%"
"01/01/2008","2,446.13","2,540.99","2,585.90","2,378.88","123.38M","-3.73%"
"12/01/2007","2,540.99","2,560.16","2,566.76","2,499.95","146.00M","-0.75%"
"11/01/2007","2,560.16","2,615.23","2,660.14","2,549.44","295.74M","-2.11%"
"10/01/2007","2,615.23","2,556.62","2,644.47","2,550.50","257.12M","2.29%"
"09/01/2007","2,556.62","2,526.59","2,660.99","2,511.87","276.60M","1.19%"
"08/01/2007","2,526.59","2,442.11","2,535.31","2,412.84","210.25M","3.46%"
"07/01/2007","2,442.11","2,572.20","2,585.82","2,336.78","78.44M","-5.06%"
"06/01/2007","2,572.20","2,508.30","2,625.89","2,508.30","192.69M","2.55%"
"05/01/2007","2,508.30","2,811.29","2,813.03","2,455.19","427.53M","-10.78%"
"04/01/2007","2,811.29","2,789.81","2,856.92","2,762.03","81.57M","0.77%"
"03/01/2007","2,789.81","2,982.89","2,982.89","2,729.21","245.81M","-6.47%"
"02/01/2007","2,982.89","2,924.25","3,038.48","2,924.25","337.94M","2.01%"
"01/01/2007","2,924.25","2,722.36","2,972.50","2,713.25","337.63M","7.42%"
"12/01/2006","2,722.36","2,777.73","2,829.88","2,695.91","148.22M","-1.99%"
"11/01/2006","2,777.73","2,454.25","2,791.43","2,454.25","646.55M","13.18%"
"10/01/2006","2,454.25","2,383.44","2,526.25","2,383.44","306.22M","2.97%"
"09/01/2006","2,383.40","2,199.97","2,391.30","2,199.97","328.70M","8.34%"
"08/01/2006","2,199.97","2,196.01","2,224.75","2,120.56","275.15M","0.18%"
"07/01/2006","2,196.01","2,114.37","2,238.78","2,107.41","626.58M","3.86%"
"06/01/2006","2,114.37","2,203.82","2,289.45","2,058.42","290.14M","-4.06%"
"05/01/2006","2,203.82","2,263.44","2,304.39","2,164.33","166.19M","-2.63%"
"04/01/2006","2,263.44","2,264.36","2,398.57","2,141.32","261.26M","-0.04%"
"03/01/2006","2,264.36","2,212.69","2,273.89","2,212.69","362.57M","2.34%"
"02/01/2006","2,212.69","2,138.97","2,239.20","2,112.46","217.29M","3.45%"
"01/01/2006","2,138.97","1,922.21","2,149.37","1,783.48","283.48M","11.28%"
"12/01/2005","1,922.21","2,292.46","2,304.63","1,756.35","233.47M","-16.15%"
"11/01/2005","2,292.46","2,516.47","2,568.22","1,391.42","422.31M","-8.90%"
"10/01/2005","2,516.47","2,434.42","2,540.14","2,409.00","414.63M","3.37%"
"09/01/2005","2,434.42","2,145.02","2,446.18","2,112.89","394.59M","13.49%"
"08/01/2005","2,145.02","2,047.21","2,194.96","2,042.01","654.79M","4.78%"
"07/01/2005","2,047.21","1,897.78","2,056.15","1,884.02","362.60M","7.87%"
"06/01/2005","1,897.78","1,936.13","1,941.28","1,846.77","175.72M","-1.98%"
"05/01/2005","1,936.13","1,829.62","1,956.30","1,829.62","436.07M","5.82%"
"04/01/2005","1,829.62","1,751.88","1,843.13","1,751.34","310.25M","4.44%"
"03/01/2005","1,751.88","1,715.14","1,771.08","1,391.42","932.38M","2.14%"
"02/01/2005","1,715.14","1,650.72","1,733.33","1,648.11","553.15M","3.90%"
"01/01/2005","1,650.72","1,506.89","1,657.31","1,506.86","238.30M","9.54%"
"12/01/2004","1,506.89","1,499.41","1,599.39","1,462.82","157.52M","0.50%"
